season,team,coach_name
2003,Charlotte,Bobby Lutz
2003,Canisius,Mike MacDonald
2003,Stony Brook,Nick Macarchuk
2003,Morehead State,Kyle Macy
2003,Troy,Don Maestri
2003,Marist,Dave Magarity
2003,Utah,Rick Majerus
2003,Sam Houston,Bob Marlin
2003,Florida International,Donnie Marsh
2003,Winthrop,Gregg Marshall
2003,Saint Joseph's,Phil Martelli
2003,UC Riverside,John Masi
2003,Cleveland State,Rollie Massimino
2003,San Francisco,Philip Mathews
2003,Xavier,Thad Matta
2003,UNC Greensboro,Fran McCaffery
2003,Houston,Ray McCallum
2003,UT Arlington,Eddie McCarter
2003,Wyoming,Steve McClain
2003,Northwestern State,Mike McConathy
2003,Western Michigan,Robert McCullum
2003,Northern Iowa,Greg McDermott
2003,New Mexico,Ritchie McKay
2003,Davidson,Bob McKillop
2003,Evansville,Steve Merfeld
2003,Niagara,Joe Mihalich
2003,Brown,Glen Miller
2003,Coppin State,Fang Mitchell
2003,Minnesota,Dan Monson
2003,Stanford,Mike Montgomery
2003,Utah State,Stew Morrill
2003,Little Rock,Porter Moser
2003,Duquesne,Danny Nee
2003,Purdue Fort Wayne,Doug Noll
2003,Texas State,Dennis Nutt
2003,Arkansas State,Dickey Nutt
2003,Ohio State,Jim O'Brien*
2003,Lafayette,Fran O'Hanlon
2003,Ohio,Tim O'Shea
2003,Fairfield,Tim O'Toole
2003,South Carolina,Dave Odom
2003,Idaho State,Doug Oliver
2003,Arizona,Lute Olson
2003,Seton Hall,Louis Orr
2003,Colorado,Ricardo Patton
2003,Milwaukee,Bruce Pearl
2003,Hofstra,Tom Pecora
2003,South Alabama,John Pelphrey
2003,Idaho,Leonard Perry
2003,Georgia State,Michael Perry
2003,Tennessee,Buzz Peterson
2003,Alabama A&M,Vann Pettaway
2003,Mount St. Mary's,Jim Phelan
2003,Tulsa,John Phillips
2003,Louisville,Rick Pitino
2003,Charleston Southern,Jim Platt
2003,Georgia Southern,Jeff Price
2003,McNeese,Tic Price
2003,Wake Forest,Skip Prosser
2003,Dayton,Oliver Purnell
2003,Birmingham-Southern,Duane Reboul
2003,Bethune-Cookman,Clifford Reed
2003,Long Beach State,Larry Reynolds
2003,Louisiana Tech,Keith Richard
2003,Tennessee State,Nolan Richardson III
2003,Illinois State,Tom Richardson
2003,Youngstown State,John Robic
2003,Washington,Lorenzo Romar
2003,New Hampshire,Phil Rowe
2003,Iona,Jeff Ruland
2003,Wisconsin,Bo Ryan
2003,Oklahoma,Kelvin Sampson
2003,Radford,Byron Samuels
2003,Eastern Illinois,Rick Samuels
2003,Lipscomb,Scott Sanderson
2003,Wright State,Ed Schilling
2003,Robert Morris,Mark Schmidt
2003,Portland State,Heath Schroyer
2003,Air Force,Joe Scott
2003,Gardner-Webb,Rick Scruggs
2003,Illinois,Bill Self
2003,NC State,Herb Sendek
2003,Western Carolina,Steve Shurina
2003,Clemson,Larry Shyatt
2003,Elon,Mark Simons
2003,Boston College,Al Skinner Jr
2003,Mercer,Mark Slonaker
2003,Central Michigan,Jay Smith
2003,Kentucky,Tubby Smith
2003,Missouri,Quin Snyder
2003,Saint Louis,Brad Soderberg
2003,UCF,Kirk Speraw
2003,Alabama State,Rob Spivery
2003,UNLV,Charles Spoonhour
2003,Vanderbilt,Kevin Stallings
2003,Mississippi State,Rick Stansbury
2003,High Point,Jerry Steele
2003,Jackson State,Andy Stoglin
2003,Virginia Tech,Ricky Stokes
2003,Mississippi Valley State,Lafayette Stribling
2003,Coastal Carolina,Pete Strickland
2003,Harvard,Frank Sullivan
2003,UMBC,Tom Sullivan
2003,Oklahoma State,Eddie Sutton
2003,Tennessee Tech,Mike Sutton
2003,Oral Roberts,Scott Sutton
2003,Lehigh,Billy Taylor
2003,Old Dominion,Blaine Taylor
2003,Pacific,Bob Thomason
2003,Morris Brown,Derek Thompson
2003,Princeton,John Thompson III
2003,Samford,Jimmy Tillette
2003,New Orleans,Monte Towe
2003,Maryland-Eastern Shore,Thomas Trotter
2003,Wichita State,Mark Turgeon
2003,St. Bonaventure,Jan Van Breda Kolff
2003,Louisiana-Monroe,Mike Vining
2003,Richmond,Jerry Wainwright
2003,Binghamton,Al Walker
2003,Hawaii,Riley Wallace
2003,Indiana State,Royce Waltman
