season,round,accuracy,log_loss,n
2008,3,0.75,0.5086045642343923,16
2008,4,1.0,0.39717815868559475,8
2008,5,0.5,0.7043581259959231,4
2008,6,0.5,0.7023268891273673,2
2009,1,0.6875,0.5023563836661475,64
2009,2,0.9375,0.32395815608857653,32
2009,3,0.75,0.488104451318789,16
2009,4,0.5,0.7236697768750071,8
2009,5,0.5,0.6572543001771077,4
2009,6,1.0,0.5437214900982854,2
2010,1,0.6875,0.5151346580070202,64
2010,2,0.625,0.6992819281737777,32
2010,3,0.75,0.5335133427242033,16
2010,4,0.5,0.7482485741770318,8
2010,5,0.75,0.6149431671372643,4
2010,6,1.0,0.28934378573152153,2
2011,1,0.78125,0.4542430318699291,64
2011,2,0.6875,0.713118385045201,32
2011,3,0.4375,0.758448672877432,16
2011,4,0.25,1.3421656753838567,8
2011,5,1.0,0.5616576491649539,4
2011,6,1.0,0.36273527845038345,2
2012,1,0.6875,0.6154567804476841,64
2012,2,0.8125,0.46366227055846587,32
2012,3,0.75,0.4894846005302418,16
2012,4,0.5,0.6682673195422714,8
2012,5,0.75,0.5309007053438186,4
2012,6,1.0,0.5480395561209297,2
2013,1,0.6875,0.5981582241993659,64
2013,2,0.75,0.5814023256947498,32
2013,3,0.625,0.610535077086573,16
2013,4,0.25,0.9117048535337657,8
2013,5,0.75,0.42020443533361396,4
2013,6,1.0,0.3620153813240099,2
2014,1,0.75,0.506002884746065,64
2014,2,0.6875,0.6783510434922609,32
2014,3,0.5,0.6698931213975152,16
2014,4,0.25,0.8299867168651981,8
2014,5,0.0,1.5441282289715428,4
2014,6,0.5,0.6320639036670939,2
2015,1,0.84375,0.4651750917649171,64
2015,2,0.6875,0.6125764900826708,32
2015,3,0.875,0.4386562788386701,16
2015,4,0.75,0.6268889624046764,8
2015,5,0.75,0.4628988072183103,4
2015,6,0.5,0.7041529551433975,2
2016,1,0.59375,0.6246250389401315,64
2016,2,0.8125,0.4262289550073476,32
2016,3,1.0,0.4745459313404523,16
2016,4,0.25,1.0513391465106094,8
2016,5,0.75,0.41138291794702875,4
2016,6,0.0,0.8668070061224621,2
2017,1,0.8125,0.41767814089578054,64
2017,2,0.75,0.626310451258953,32
2017,3,0.75,0.6702230767278956,16
2017,4,0.5,0.6565404447633771,8
2017,5,1.0,0.33054543642972223,4
2017,6,0.5,0.7030452369877249,2
2018,1,0.71875,0.5563437897978913,64
2018,2,0.625,0.7301074547349942,32
2018,3,0.5,0.6434035133295475,16
2018,4,0.75,0.5369308437558313,8
2018,5,0.75,0.4817186722209995,4
2018,6,1.0,0.4443942772512942,2
